ticket_id,agency_name,inspector_name,violator_name,violation_street_number,violation_street_name,violation_zip_code,mailing_address_str_number,mailing_address_str_name,city,state,zip_code,non_us_str_code,country,ticket_issued_date,hearing_date,violation_code,violation_description,disposition,fine_amount,admin_fee,state_fee,late_fee,discount_amount,clean_up_cost,judgment_amount,grafitti_status,payment_amount,payment_date,payment_status,balance_due,collection_status,compliance,compliance_detail
11,Police,Inspector_0,Violator_10,9837,Street_10,48200,5061,Mail_Street_10,Detroit,MI,48200,,USA,2020-01-11,2020-02-11,CODE_0,Safety violations,Responsible,439.25227462079215,20.0,10.0,36.36453589194496,0.0,0.0,474.1110144686472,,169.94069398394066,2020-03-11,Unpaid,70.43430197543066,,1.0,
12,Police,Inspector_1,Violator_11,1117,Street_11,48201,9979,Mail_Street_11,Detroit,MI,48201,,USA,2020-01-12,2020-02-12,CODE_1,Failure to maintain exterior,Responsible,665.3855213028249,20.0,10.0,9.859423024193648,0.0,0.0,870.2891413584082,,122.99559502705537,2020-03-12,Paid,312.471885203916,,1.0,
13,Health,Inspector_2,Violator_12,3551,Street_12,48202,4428,Mail_Street_12,Detroit,MI,48202,,USA,2020-01-13,2020-02-13,CODE_2,Safety violations,Not responsible,64.73291409526257,20.0,10.0,11.647784967333708,0.0,0.0,664.1371019802832,,642.557939588345,2020-03-13,Pending,364.4352547442979,,1.0,
14,Police,Inspector_3,Violator_13,6560,Street_13,48203,6153,Mail_Street_13,Detroit,MI,48203,,USA,2020-01-14,2020-02-14,CODE_3,Failure to maintain exterior,Pending,316.83786692693155,20.0,10.0,25.426123144486457,0.0,0.0,219.60512047195093,,102.17236386729857,2020-03-14,Paid,465.9563662987279,,0.0,
15,Buildings,Inspector_4,Violator_14,5289,Street_14,48204,9426,Mail_Street_14,Detroit,MI,48204,,USA,2020-01-15,2020-02-15,CODE_4,Failure to maintain exterior,Not responsible,247.55854132492044,20.0,10.0,29.54679246267593,0.0,0.0,1156.7842852744757,,363.5342014681008,2020-03-15,Paid,139.43596313048246,,0.0,
16,Health,Inspector_5,Violator_15,1846,Street_15,48205,2341,Mail_Street_15,Detroit,MI,48205,,USA,2020-01-16,2020-02-16,CODE_0,Improper waste disposal,Responsible,89.88615746410882,20.0,10.0,52.99703410214206,0.0,0.0,792.220057594907,,893.5163711556911,2020-03-16,Pending,475.1056029327151,,0.0,
17,Buildings,Inspector_6,Violator_16,7316,Street_16,48206,7249,Mail_Street_16,Detroit,MI,48206,,USA,2020-01-17,2020-02-17,CODE_1,Failure to maintain exterior,Responsible,505.29708541881064,20.0,10.0,67.83918855030132,0.0,0.0,937.7726367420354,,1157.318615481577,2020-03-17,Paid,31.6313359103374,,1.0,
18,Buildings,Inspector_7,Violator_17,7469,Street_17,48207,4774,Mail_Street_17,Detroit,MI,48207,,USA,2020-01-18,2020-02-18,CODE_2,Improper waste disposal,Pending,222.6371285667487,20.0,10.0,59.277094087018476,0.0,0.0,168.7187280093753,,861.4446966623143,2020-03-18,Unpaid,301.50693168229407,,0.0,
19,Buildings,Inspector_8,Violator_18,9915,Street_18,48208,7291,Mail_Street_18,Detroit,MI,48208,,USA,2020-01-19,2020-02-19,CODE_3,Other violations,Responsible,755.9274626498111,20.0,10.0,14.83603372895168,0.0,0.0,132.70538499522115,,1191.1506581434442,2020-03-19,Paid,28.566359671664987,,0.0,
20,Buildings,Inspector_9,Violator_19,1224,Street_19,48209,4817,Mail_Street_19,Detroit,MI,48209,,USA,2020-01-20,2020-02-20,CODE_4,Other violations,Pending,855.531489575181,20.0,10.0,17.208603245262644,0.0,0.0,101.78181641225092,,838.0055655352832,2020-03-20,Paid,446.88709388097243,,0.0,
21,Health,Inspector_0,Violator_20,5208,Street_0,48200,4661,Mail_Street_20,Detroit,MI,48200,,USA,2020-01-21,2020-02-21,CODE_0,Improper waste disposal,Not responsible,568.3059235356905,20.0,10.0,87.87692497929145,0.0,0.0,291.4493111062578,,352.553364785193,2020-03-21,Paid,264.90452853502705,,0.0,
22,Health,Inspector_1,Violator_21,7283,Street_1,48201,3232,Mail_Street_21,Detroit,MI,48201,,USA,2020-01-22,2020-02-22,CODE_1,Improper waste disposal,Pending,982.6219753950845,20.0,10.0,55.83523150641136,0.0,0.0,544.1374054447145,,806.4630486064343,2020-03-22,Pending,334.674175381398,,1.0,
23,Buildings,Inspector_2,Violator_22,3048,Street_2,48202,5874,Mail_Street_22,Detroit,MI,48202,,USA,2020-01-23,2020-02-23,CODE_2,Safety violations,Pending,477.9546428970656,20.0,10.0,86.9937832897689,0.0,0.0,1128.1252694111615,,842.5881182362846,2020-03-23,Paid,415.7869629552263,,1.0,
24,Buildings,Inspector_3,Violator_23,7233,Street_3,48203,4401,Mail_Street_23,Detroit,MI,48203,,USA,2020-01-24,2020-02-24,CODE_3,Safety violations,Responsible,537.6997997136698,20.0,10.0,37.154651131987436,0.0,0.0,591.9068183776694,,446.0723815397527,2020-03-24,Paid,75.15531124198438,,1.0,
25,Health,Inspector_4,Violator_24,2828,Street_4,48204,3494,Mail_Street_24,Detroit,MI,48204,,USA,2020-01-25,2020-02-25,CODE_4,Safety violations,Responsible,989.7568662598626,20.0,10.0,61.44000074313239,0.0,0.0,405.0857180172329,,21.256620731266818,2020-03-25,Unpaid,19.29578096906692,,1.0,
26,Health,Inspector_5,Violator_25,2917,Street_5,48205,7917,Mail_Street_25,Detroit,MI,48205,,USA,2020-01-26,2020-02-26,CODE_0,Other violations,Pending,269.9710141667964,20.0,10.0,52.36634160546107,0.0,0.0,709.3674839420229,,843.8397417305844,2020-03-26,Paid,439.4405729564261,,0.0,
27,Health,Inspector_6,Violator_26,5234,Street_6,48206,6211,Mail_Street_26,Detroit,MI,48206,,USA,2020-01-27,2020-02-27,CODE_1,Safety violations,Responsible,945.41864269306,20.0,10.0,31.912348982046257,0.0,0.0,205.36672751096395,,26.040114330649942,2020-03-27,Paid,157.46661372946625,,0.0,
28,Police,Inspector_7,Violator_27,7988,Street_7,48207,9431,Mail_Street_27,Detroit,MI,48207,,USA,2020-01-28,2020-02-28,CODE_2,Failure to maintain exterior,Responsible,90.69567736315759,20.0,10.0,46.991537203359535,0.0,0.0,762.6465979255812,,757.4256936720853,2020-03-28,Paid,64.48945396358263,,0.0,
29,Police,Inspector_8,Violator_28,3026,Street_8,48208,2661,Mail_Street_28,Detroit,MI,48208,,USA,2020-01-29,2020-02-29,CODE_3,Failure to maintain exterior,Responsible,474.06754575003504,20.0,10.0,50.24908768269321,0.0,0.0,716.6437888501637,,196.3397864910661,2020-03-29,Paid,234.23061854354327,,0.0,
30,Police,Inspector_9,Violator_29,4744,Street_9,48209,5883,Mail_Street_29,Detroit,MI,48209,,USA,2020-01-30,2020-03-01,CODE_4,Safety violations,Pending,116.50333652641248,20.0,10.0,20.07709747566786,0.0,0.0,967.0321974143949,,678.7242332976521,2020-03-30,Unpaid,299.1530378480094,,0.0,
31,Buildings,Inspector_0,Violator_30,1009,Street_10,48200,7561,Mail_Street_0,Detroit,MI,48200,,USA,2020-01-31,2020-03-02,CODE_0,Failure to maintain exterior,Responsible,742.7730057679609,20.0,10.0,31.501037237673156,0.0,0.0,1185.090125011067,,604.69563045672,2020-03-31,Unpaid,15.485301711255062,,1.0,
32,Police,Inspector_1,Violator_31,1260,Street_11,48201,5619,Mail_Street_1,Detroit,MI,48201,,USA,2020-02-01,2020-03-03,CODE_1,Other violations,Pending,627.9884890860169,20.0,10.0,79.14097505069756,0.0,0.0,360.9782883220438,,16.216370767419086,2020-04-01,Pending,137.44782912854387,,0.0,
33,Buildings,Inspector_2,Violator_32,7038,Street_12,48202,8596,Mail_Street_2,Detroit,MI,48202,,USA,2020-02-02,2020-03-04,CODE_2,Failure to maintain exterior,Responsible,721.3025502942165,20.0,10.0,91.57882394541271,0.0,0.0,650.8152249002119,,435.43898039412414,2020-04-02,Paid,16.399937138448006,,1.0,
34,Buildings,Inspector_3,Violator_33,3219,Street_13,48203,3868,Mail_Street_3,Detroit,MI,48203,,USA,2020-02-03,2020-03-05,CODE_3,Other violations,Not responsible,405.7563799696161,20.0,10.0,35.97940935452995,0.0,0.0,1097.9292550772839,,721.3094008755633,2020-04-03,Pending,210.1676945977495,,0.0,
35,Police,Inspector_4,Violator_34,8041,Street_14,48204,9644,Mail_Street_4,Detroit,MI,48204,,USA,2020-02-04,2020-03-06,CODE_4,Improper waste disposal,Responsible,401.0078373298113,20.0,10.0,30.697228220901817,0.0,0.0,959.4126705535823,,1018.3278622785357,2020-04-04,Pending,447.5500145331222,,0.0,
36,Buildings,Inspector_5,Violator_35,3060,Street_15,48205,4334,Mail_Street_5,Detroit,MI,48205,,USA,2020-02-05,2020-03-07,CODE_0,Improper waste disposal,Responsible,93.05331501284988,20.0,10.0,19.519716457188252,0.0,0.0,625.8950594729044,,1066.3705366038207,2020-04-05,Paid,491.3262057467846,,0.0,
37,Police,Inspector_6,Violator_36,6287,Street_16,48206,5374,Mail_Street_6,Detroit,MI,48206,,USA,2020-02-06,2020-03-08,CODE_1,Improper waste disposal,Pending,382.4476925531578,20.0,10.0,67.84911686505812,0.0,0.0,1138.8162475685513,,580.6199640398679,2020-04-06,Unpaid,318.5237767518138,,0.0,
38,Police,Inspector_7,Violator_37,2619,Street_17,48207,3016,Mail_Street_7,Detroit,MI,48207,,USA,2020-02-07,2020-03-09,CODE_2,Improper waste disposal,Pending,932.8239821489565,20.0,10.0,32.309970166633725,0.0,0.0,144.1050967388265,,874.1069847593258,2020-04-07,Unpaid,80.81884689229591,,0.0,
39,Health,Inspector_8,Violator_38,9512,Street_18,48208,6406,Mail_Street_8,Detroit,MI,48208,,USA,2020-02-08,2020-03-10,CODE_3,Failure to maintain exterior,Responsible,410.26521032142654,20.0,10.0,98.77495390991885,0.0,0.0,1122.718454078094,,379.74549184014916,2020-04-08,Paid,452.9246949996529,,0.0,
40,Police,Inspector_9,Violator_39,2342,Street_19,48209,2207,Mail_Street_9,Detroit,MI,48209,,USA,2020-02-09,2020-03-11,CODE_4,Safety violations,Not responsible,839.7993209108715,20.0,10.0,32.56848020639532,0.0,0.0,136.56827946874333,,410.6236869103889,2020-04-09,Paid,258.1239116000302,,0.0,
41,Health,Inspector_0,Violator_40,3832,Street_0,48200,4665,Mail_Street_10,Detroit,MI,48200,,USA,2020-02-10,2020-03-12,CODE_0,Failure to maintain exterior,Responsible,850.2092295124373,20.0,10.0,39.413604678262814,0.0,0.0,692.9813134084465,,233.3562230187765,2020-04-10,Unpaid,76.87465605145904,,0.0,
42,Police,Inspector_1,Violator_41,3824,Street_1,48201,4493,Mail_Street_11,Detroit,MI,48201,,USA,2020-02-11,2020-03-13,CODE_1,Other violations,Responsible,404.57909856027214,20.0,10.0,60.333419621203475,0.0,0.0,1077.293861761216,,674.3377319918872,2020-04-11,Paid,460.86333472583067,,0.0,
43,Police,Inspector_2,Violator_42,2994,Street_2,48202,8813,Mail_Street_12,Detroit,MI,48202,,USA,2020-02-12,2020-03-14,CODE_2,Failure to maintain exterior,Not responsible,650.3892463763796,20.0,10.0,80.1684293191305,0.0,0.0,374.2474567886592,,377.47698111283825,2020-04-12,Paid,378.7345253615515,,1.0,
44,Health,Inspector_3,Violator_43,4490,Street_3,48203,2632,Mail_Street_13,Detroit,MI,48203,,USA,2020-02-13,2020-03-15,CODE_3,Failure to maintain exterior,Pending,140.6030221594057,20.0,10.0,46.95186653456337,0.0,0.0,608.9183188185775,,101.24507572620604,2020-04-13,Paid,365.8526363615758,,1.0,
45,Health,Inspector_4,Violator_44,8984,Street_4,48204,4102,Mail_Street_14,Detroit,MI,48204,,USA,2020-02-14,2020-03-16,CODE_4,Other violations,Responsible,148.4946516975627,20.0,10.0,42.26560337889583,0.0,0.0,443.2483446334026,,822.0073039958145,2020-04-14,Unpaid,354.5903518972023,,0.0,
46,Police,Inspector_5,Violator_45,2604,Street_5,48205,4959,Mail_Street_15,Detroit,MI,48205,,USA,2020-02-15,2020-03-17,CODE_0,Improper waste disposal,Pending,96.22478047862765,20.0,10.0,99.56378335948082,0.0,0.0,1146.4011871255136,,849.3038491264778,2020-04-15,Pending,100.16991054822117,,1.0,
47,Buildings,Inspector_6,Violator_46,1235,Street_6,48206,5083,Mail_Street_16,Detroit,MI,48206,,USA,2020-02-16,2020-03-18,CODE_1,Improper waste disposal,Pending,601.964338706354,20.0,10.0,1.0493641139944443,0.0,0.0,1002.4830661234618,,431.9909025348694,2020-04-16,Pending,105.50334585376304,,1.0,
48,Health,Inspector_7,Violator_47,2908,Street_7,48207,6752,Mail_Street_17,Detroit,MI,48207,,USA,2020-02-17,2020-03-19,CODE_2,Improper waste disposal,Not responsible,454.7674287447922,20.0,10.0,89.50652888512458,0.0,0.0,874.0816926855451,,92.06807934722735,2020-04-17,Paid,344.1464992136275,,1.0,
49,Buildings,Inspector_8,Violator_48,9567,Street_8,48208,7519,Mail_Street_18,Detroit,MI,48208,,USA,2020-02-18,2020-03-20,CODE_3,Safety violations,Not responsible,570.6307388310281,20.0,10.0,14.914082593973744,0.0,0.0,738.1422250089217,,511.5572608841111,2020-04-18,Unpaid,109.86137505519844,,0.0,
50,Buildings,Inspector_9,Violator_49,4530,Street_9,48209,3931,Mail_Street_19,Detroit,MI,48209,,USA,2020-02-19,2020-03-21,CODE_4,Other violations,Pending,545.0195309829685,20.0,10.0,78.59252762089135,0.0,0.0,999.0628040430458,,530.8025496602586,2020-04-19,Paid,219.33584840152443,,0.0,
51,Buildings,Inspector_0,Violator_0,6256,Street_10,48200,5719,Mail_Street_20,Detroit,MI,48200,,USA,2020-02-20,2020-03-22,CODE_0,Other violations,Responsible,382.6928415361938,20.0,10.0,61.7931559846298,0.0,0.0,519.3390865063727,,802.4050618774716,2020-04-20,Unpaid,391.0009127969707,,1.0,
52,Health,Inspector_1,Violator_1,3635,Street_11,48201,9123,Mail_Street_21,Detroit,MI,48201,,USA,2020-02-21,2020-03-23,CODE_1,Failure to maintain exterior,Pending,693.5997440822993,20.0,10.0,34.18472854980921,0.0,0.0,581.2580777187893,,378.4996695104202,2020-04-21,Paid,391.9762590489205,,0.0,
53,Buildings,Inspector_2,Violator_2,9162,Street_12,48202,4562,Mail_Street_22,Detroit,MI,48202,,USA,2020-02-22,2020-03-24,CODE_2,Safety violations,Responsible,770.5767868705711,20.0,10.0,87.38749555210184,0.0,0.0,897.6019276105649,,819.1191357375665,2020-04-22,Unpaid,226.63088626292983,,1.0,
54,Health,Inspector_3,Violator_3,3560,Street_13,48203,3679,Mail_Street_23,Detroit,MI,48203,,USA,2020-02-23,2020-03-25,CODE_3,Improper waste disposal,Responsible,63.89684593379193,20.0,10.0,1.2907227980991975,0.0,0.0,480.68533488895997,,1045.786250108866,2020-04-23,Unpaid,396.09496913762257,,1.0,
55,Buildings,Inspector_4,Violator_4,6415,Street_14,48204,9709,Mail_Street_24,Detroit,MI,48204,,USA,2020-02-24,2020-03-26,CODE_4,Safety violations,Not responsible,246.8801847804344,20.0,10.0,22.669065207492366,0.0,0.0,151.56905509417868,,284.9832508346398,2020-04-24,Pending,419.3108980990284,,0.0,
56,Police,Inspector_5,Violator_5,4391,Street_15,48205,2236,Mail_Street_25,Detroit,MI,48205,,USA,2020-02-25,2020-03-27,CODE_0,Other violations,Responsible,727.5740746791699,20.0,10.0,56.689279624953606,0.0,0.0,163.25476195240003,,1174.7034673438798,2020-04-25,Paid,327.3878756421301,,0.0,
57,Police,Inspector_6,Violator_6,6951,Street_16,48206,9446,Mail_Street_26,Detroit,MI,48206,,USA,2020-02-26,2020-03-28,CODE_1,Other violations,Responsible,417.28916400214246,20.0,10.0,35.1542260049698,0.0,0.0,209.20633746238832,,463.64176456416834,2020-04-26,Pending,114.21292615421008,,0.0,
58,Health,Inspector_7,Violator_7,6468,Street_17,48207,6443,Mail_Street_27,Detroit,MI,48207,,USA,2020-02-27,2020-03-29,CODE_2,Failure to maintain exterior,Pending,679.3597495945278,20.0,10.0,61.037749531832766,0.0,0.0,1054.0430821449022,,320.7104221764741,2020-04-27,Pending,137.00589019277376,,0.0,
59,Police,Inspector_8,Violator_8,9007,Street_18,48208,8770,Mail_Street_28,Detroit,MI,48208,,USA,2020-02-28,2020-03-30,CODE_3,Failure to maintain exterior,Not responsible,379.6145267478305,20.0,10.0,2.4110193408666825,0.0,0.0,608.8935968469489,,505.8134190123486,2020-04-28,Unpaid,157.42057770436767,,0.0,
60,Police,Inspector_9,Violator_9,7413,Street_19,48209,9271,Mail_Street_29,Detroit,MI,48209,,USA,2020-02-29,2020-03-31,CODE_4,Other violations,Responsible,421.2173947131552,20.0,10.0,11.645893048171253,0.0,0.0,878.4282536661049,,113.276971084631,2020-04-29,Paid,58.402053866976,,0.0,
61,Buildings,Inspector_0,Violator_10,7941,Street_0,48200,6725,Mail_Street_0,Detroit,MI,48200,,USA,2020-03-01,2020-04-01,CODE_0,Improper waste disposal,Responsible,200.74493000520067,20.0,10.0,12.709624021843924,0.0,0.0,520.0584558774805,,150.84708781453878,2020-04-30,Unpaid,136.57981018497256,,0.0,
62,Health,Inspector_1,Violator_11,5820,Street_1,48201,3540,Mail_Street_1,Detroit,MI,48201,,USA,2020-03-02,2020-04-02,CODE_1,Improper waste disposal,Not responsible,295.31946868285206,20.0,10.0,18.928364591600943,0.0,0.0,369.75626110551065,,497.3208563619977,2020-05-01,Unpaid,104.75961215626606,,0.0,
63,Buildings,Inspector_2,Violator_12,3898,Street_2,48202,8099,Mail_Street_2,Detroit,MI,48202,,USA,2020-03-03,2020-04-03,CODE_2,Safety violations,Pending,625.1411696322078,20.0,10.0,45.93314408005428,0.0,0.0,468.8552276696774,,914.9334263269201,2020-05-02,Unpaid,227.66437490430107,,1.0,
64,Buildings,Inspector_3,Violator_13,8546,Street_3,48203,5943,Mail_Street_3,Detroit,MI,48203,,USA,2020-03-04,2020-04-04,CODE_3,Other violations,Not responsible,461.50495574940805,20.0,10.0,75.21286995435712,0.0,0.0,969.4842267552456,,1080.374687489389,2020-05-03,Paid,454.2187739361325,,0.0,
65,Buildings,Inspector_4,Violator_14,1077,Street_4,48204,7367,Mail_Street_4,Detroit,MI,48204,,USA,2020-03-05,2020-04-05,CODE_4,Other violations,Not responsible,785.5875487973653,20.0,10.0,90.5538837928901,0.0,0.0,780.2420600352108,,797.7815888595251,2020-05-04,Paid,52.24015837697904,,1.0,
66,Buildings,Inspector_5,Violator_15,8577,Street_5,48205,2363,Mail_Street_5,Detroit,MI,48205,,USA,2020-03-06,2020-04-06,CODE_0,Improper waste disposal,Responsible,859.9557071914256,20.0,10.0,83.5372530284246,0.0,0.0,1130.1565535528503,,126.26346628580367,2020-05-05,Unpaid,360.1339619736978,,1.0,
67,Buildings,Inspector_6,Violator_16,5227,Street_6,48206,4368,Mail_Street_6,Detroit,MI,48206,,USA,2020-03-07,2020-04-07,CODE_1,Improper waste disposal,Responsible,564.5640973059219,20.0,10.0,19.688787177568358,0.0,0.0,841.2693520060541,,806.4237146166421,2020-05-06,Paid,343.64150220656387,,0.0,
68,Buildings,Inspector_7,Violator_17,1600,Street_7,48207,9800,Mail_Street_7,Detroit,MI,48207,,USA,2020-03-08,2020-04-08,CODE_2,Other violations,Pending,770.3539274532562,20.0,10.0,44.11505522306324,0.0,0.0,718.6034275652572,,762.5135048435664,2020-05-07,Unpaid,47.87709933167883,,1.0,
69,Buildings,Inspector_8,Violator_18,2065,Street_8,48208,2285,Mail_Street_8,Detroit,MI,48208,,USA,2020-03-09,2020-04-09,CODE_3,Failure to maintain exterior,Responsible,341.55928753484153,20.0,10.0,19.9411597758535,0.0,0.0,763.4195300641346,,966.9167019519975,2020-05-08,Paid,461.28620245290006,,0.0,
70,Health,Inspector_9,Violator_19,3136,Street_9,48209,2148,Mail_Street_9,Detroit,MI,48209,,USA,2020-03-10,2020-04-10,CODE_4,Other violations,Responsible,444.22265463007426,20.0,10.0,26.44718166671908,0.0,0.0,1135.4560122046244,,990.2983999826171,2020-05-09,Paid,284.2361010784098,,1.0,
71,Police,Inspector_0,Violator_20,7943,Street_10,48200,7203,Mail_Street_10,Detroit,MI,48200,,USA,2020-03-11,2020-04-11,CODE_0,Other violations,Not responsible,727.1387924059894,20.0,10.0,50.354698151188614,0.0,0.0,962.7850414507109,,1041.8436909347747,2020-05-10,Pending,181.86276056784212,,0.0,
72,Buildings,Inspector_1,Violator_21,8804,Street_11,48201,6037,Mail_Street_11,Detroit,MI,48201,,USA,2020-03-12,2020-04-12,CODE_1,Improper waste disposal,Responsible,416.9013931761791,20.0,10.0,6.810902472352254,0.0,0.0,106.92618585041035,,496.957817494918,2020-05-11,Unpaid,378.2692917476533,,0.0,
73,Buildings,Inspector_2,Violator_22,7565,Street_12,48202,8549,Mail_Street_12,Detroit,MI,48202,,USA,2020-03-13,2020-04-13,CODE_2,Improper waste disposal,Pending,609.0796884010393,20.0,10.0,21.81743295932732,0.0,0.0,678.2364596719809,,837.4372744225732,2020-05-12,Pending,128.68272920081702,,0.0,
74,Buildings,Inspector_3,Violator_23,6984,Street_13,48203,9121,Mail_Street_13,Detroit,MI,48203,,USA,2020-03-14,2020-04-14,CODE_3,Failure to maintain exterior,Not responsible,226.10414012838592,20.0,10.0,93.53781613071173,0.0,0.0,850.9390209321526,,321.9004307067729,2020-05-13,Pending,346.7549185231602,,0.0,
75,Buildings,Inspector_4,Violator_24,6142,Street_14,48204,6551,Mail_Street_14,Detroit,MI,48204,,USA,2020-03-15,2020-04-15,CODE_4,Failure to maintain exterior,Pending,619.7827492219731,20.0,10.0,46.6116292658489,0.0,0.0,918.5422958518536,,1199.203535980205,2020-05-14,Unpaid,19.85560378612361,,0.0,
76,Buildings,Inspector_5,Violator_25,5670,Street_15,48205,3766,Mail_Street_15,Detroit,MI,48205,,USA,2020-03-16,2020-04-16,CODE_0,Safety violations,Not responsible,868.4380218655489,20.0,10.0,44.53865259778722,0.0,0.0,318.71917363160907,,210.40108965223192,2020-05-15,Unpaid,419.704018804636,,0.0,
77,Buildings,Inspector_6,Violator_26,3190,Street_16,48206,6895,Mail_Street_16,Detroit,MI,48206,,USA,2020-03-17,2020-04-17,CODE_1,Other violations,Responsible,875.2076578322543,20.0,10.0,1.45671547512789,0.0,0.0,1051.2386369855144,,12.137317993002972,2020-05-16,Paid,224.08542351065924,,0.0,
78,Police,Inspector_7,Violator_27,3712,Street_17,48207,7280,Mail_Street_17,Detroit,MI,48207,,USA,2020-03-18,2020-04-18,CODE_2,Improper waste disposal,Not responsible,738.1271860130627,20.0,10.0,24.739974705834577,0.0,0.0,1150.5443248361835,,178.57045742181123,2020-05-17,Unpaid,318.34645717897087,,0.0,
79,Police,Inspector_8,Violator_28,3192,Street_18,48208,3012,Mail_Street_18,Detroit,MI,48208,,USA,2020-03-19,2020-04-19,CODE_3,Failure to maintain exterior,Not responsible,758.4657101223197,20.0,10.0,86.62924359821812,0.0,0.0,345.12114254625413,,931.046747452952,2020-05-18,Pending,110.61890990334183,,0.0,
80,Buildings,Inspector_9,Violator_29,2248,Street_19,48209,4831,Mail_Street_19,Detroit,MI,48209,,USA,2020-03-20,2020-04-20,CODE_4,Safety violations,Responsible,580.0310728931656,20.0,10.0,16.462842825866876,0.0,0.0,1068.5293124193154,,536.1404118098538,2020-05-19,Pending,338.53685632922395,,0.0,
81,Police,Inspector_0,Violator_30,5033,Street_0,48200,4507,Mail_Street_20,Detroit,MI,48200,,USA,2020-03-21,2020-04-21,CODE_0,Safety violations,Responsible,605.4346856575336,20.0,10.0,41.51249395347211,0.0,0.0,188.61621401802682,,537.000297372514,2020-05-20,Unpaid,386.1201379466383,,0.0,
82,Health,Inspector_1,Violator_31,2997,Street_1,48201,9717,Mail_Street_21,Detroit,MI,48201,,USA,2020-03-22,2020-04-22,CODE_1,Improper waste disposal,Pending,176.96805233999208,20.0,10.0,1.4330905867001253,0.0,0.0,142.39165644907462,,1146.0275035340023,2020-05-21,Pending,236.60659344219937,,0.0,
